"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify the error message with invalid username and password.","17","testOneUnstableTest","Suite - Parallel Execution","2026-09-18","passed","2026-09-18","test.java.tests.theInternet.parallel.TestOne","Test Parallel Execution","test.java.tests.theInternet.parallel.TestOne","testOneUnstableTest"
"Verify the successful login with valid username and password.","1369","testOneValidLoginOne","Suite - Parallel Execution","2026-09-18","passed","2026-09-18","test.java.tests.theInternet.parallel.TestOne","Test Parallel Execution","test.java.tests.theInternet.parallel.TestOne","testOneValidLoginOne"
"The test will verify the ABTest scenario by passing URL parameter.","892","Test_With_Opt_Out_Url","Suite - Parallel Execution","2026-09-18","passed","2026-09-18","test.java.tests.theInternet.ABTestOptOut","Test Parallel Execution","test.java.tests.theInternet.ABTestOptOut","Test_With_Opt_Out_Url"
"Verify the successful login with valid username and password.","578","testThreeExpectedFailure","Suite - Parallel Execution","2026-09-18","failed","2026-09-18","test.java.tests.theInternet.parallel.TestThree","Test Parallel Execution","test.java.tests.theInternet.parallel.TestThree","testThreeExpectedFailure"
"Verify the element capture as an image using getScreenshotAs() method Selenium 4 feature.","1","testElementGetScreenshot","Suite - Parallel Execution","2026-09-18","unknown","2026-09-18","test.java.tests.selenium.TestElementGetScreenshot","Test Parallel Execution","test.java.tests.selenium.TestElementGetScreenshot","testElementGetScreenshot"
"Verify the successful login with valid username and password.","563","testFourExpectedFailure","Suite - Parallel Execution","2026-09-18","failed","2026-09-18","test.java.tests.theInternet.parallel.TestFour","Test Parallel Execution","test.java.tests.theInternet.parallel.TestFour","testFourExpectedFailure"
"The test will verify the ABTest scenario by forge an opt-out cookie after visiting the page.","901","Test_With_Cookie_After_Visiting_Page","Suite - Parallel Execution","2026-09-18","passed","2026-09-18","test.java.tests.theInternet.ABTestOptOut","Test Parallel Execution","test.java.tests.theInternet.ABTestOptOut","Test_With_Cookie_After_Visiting_Page"
"Verify the 'Due' column sort functionality in an ascending order.","661","testDuesColumnAscendingSort","Suite - Parallel Execution","2026-09-18","passed","2026-09-18","test.java.tests.theInternet.TestTables","Test Parallel Execution","test.java.tests.theInternet.TestTables","testDuesColumnAscendingSort"
"Verify the successful login with valid username and password.","1357","testOneValidLoginTwo","Suite - Parallel Execution","2026-09-18","passed","2026-09-18","test.java.tests.theInternet.parallel.TestOne","Test Parallel Execution","test.java.tests.theInternet.parallel.TestOne","testOneValidLoginTwo"
"Verify the 'Due' column sort functionality in an ascending order with step level screenshot.","1072","testDuesColumnAscendingSortWithStepLevelScreenshot","Suite - Parallel Execution","2026-09-18","passed","2026-09-18","test.java.tests.theInternet.TestTables","Test Parallel Execution","test.java.tests.theInternet.TestTables","testDuesColumnAscendingSortWithStepLevelScreenshot"
"Verify the error message with invalid username and password.","6","testTwoUnstableTest","Suite - Parallel Execution","2026-09-18","passed","2026-09-18","test.java.tests.theInternet.parallel.TestTwo","Test Parallel Execution","test.java.tests.theInternet.parallel.TestTwo","testTwoUnstableTest"
"Verify the successful login with valid username and password.","1306","testFourValidLoginTwo","Suite - Parallel Execution","2026-09-18","passed","2026-09-18","test.java.tests.theInternet.parallel.TestFour","Test Parallel Execution","test.java.tests.theInternet.parallel.TestFour","testFourValidLoginTwo"
"The test will verify the ABTest scenario by forge an opt-out cookie.","854","Test_With_Cookie_Before_Visiting_Page","Suite - Parallel Execution","2026-09-18","passed","2026-09-18","test.java.tests.theInternet.ABTestOptOut","Test Parallel Execution","test.java.tests.theInternet.ABTestOptOut","Test_With_Cookie_Before_Visiting_Page"
"Verify the successful login with valid username and password.","559","testTwoExpectedFailure","Suite - Parallel Execution","2026-09-18","failed","2026-09-18","test.java.tests.theInternet.parallel.TestTwo","Test Parallel Execution","test.java.tests.theInternet.parallel.TestTwo","testTwoExpectedFailure"
"Verify the error message with invalid username and password.","1","testFourUnstableTest","Suite - Parallel Execution","2026-09-18","passed","2026-09-18","test.java.tests.theInternet.parallel.TestFour","Test Parallel Execution","test.java.tests.theInternet.parallel.TestFour","testFourUnstableTest"
"Verify the error message with invalid username and password.","1","testThreeUnstableTest","Suite - Parallel Execution","2026-09-18","passed","2026-09-18","test.java.tests.theInternet.parallel.TestThree","Test Parallel Execution","test.java.tests.theInternet.parallel.TestThree","testThreeUnstableTest"
"Verify the successful login with valid username and password.","1760","testThreeValidLoginTwo","Suite - Parallel Execution","2026-09-18","passed","2026-09-18","test.java.tests.theInternet.parallel.TestThree","Test Parallel Execution","test.java.tests.theInternet.parallel.TestThree","testThreeValidLoginTwo"
"Verify the successful login with valid username and password.","1523","testFourValidLoginOne","Suite - Parallel Execution","2026-09-18","passed","2026-09-18","test.java.tests.theInternet.parallel.TestFour","Test Parallel Execution","test.java.tests.theInternet.parallel.TestFour","testFourValidLoginOne"
"Verify the successful login with valid username and password.","756","testThreeValidLoginOne","Suite - Parallel Execution","2026-09-18","passed","2026-09-18","test.java.tests.theInternet.parallel.TestThree","Test Parallel Execution","test.java.tests.theInternet.parallel.TestThree","testThreeValidLoginOne"
"Verify the successful login with valid username and password.","589","testOneExpectedFailure","Suite - Parallel Execution","2026-09-18","failed","2026-09-18","test.java.tests.theInternet.parallel.TestOne","Test Parallel Execution","test.java.tests.theInternet.parallel.TestOne","testOneExpectedFailure"
"Verify the successful login with valid username and password.","1845","testTwoValidLoginOne","Suite - Parallel Execution","2026-09-18","passed","2026-09-18","test.java.tests.theInternet.parallel.TestTwo","Test Parallel Execution","test.java.tests.theInternet.parallel.TestTwo","testTwoValidLoginOne"
"Verify the successful login with valid username and password.","1391","testTwoValidLoginTwo","Suite - Parallel Execution","2026-09-18","passed","2026-09-18","test.java.tests.theInternet.parallel.TestTwo","Test Parallel Execution","test.java.tests.theInternet.parallel.TestTwo","testTwoValidLoginTwo"
